id;nombre_color;codigo
1;AZUL;AZUL
2;AZUL ALIBLANCO;AZUL A/B
3;AZUL PINTADO;AZUL PTDO
4;AZUL TACHETE;AZUL THT
5;EMPEDRADO;EMP
6;EMPEDRADO ALIBLANCO;EMP A/B
7;EMPEDRADO PINTADO;EMP PTDO
8;EMPEDRADO OSCURO;EMP OSC
9;CANELO;CAN
10;CANELO ALIBLANCO;CAN A/B
11;CANELO PINTADO;CAN PTDO
12;BAYO;BY
13;BAYO ALIBLANCO;BY A/B
14;BAYO PINTADO;BY PTDO
15;NEGRO;N
16;NEGRO ALIBLANCO;N A/B
17;NEGRO PINTADO;N PTDO
18;SCALY;SCL
19;SCALY ALIBLANCO;SCL A/B
20;SCALY PINTADO;SCL PTDO
21;CHOCOLATE;CHO
22;CHOCOLATE ALIBLANCO;CHO A/B
23;CHOCOLATE PINTADO;CHO PTDO
24;MAHON;M
25;MAHON ALIBLANCO;M A/B
26;MAHON PINTADO;M PTDO
27;BLANCO;BL
28;MOSAICO;MSC
29;PINTADO;PTD
30;MONGE;MGE
