id;anilla;anno;pais;sexo;activo
1;scrunch frightening;kick-off;likewise drat;false;true
2;twinkle how;fast;unless closely;false;true
3;capture with;toward fourths;which qua gah;true;false
4;perfectly;executive uh-huh;repurpose youthful valiantly;true;false
5;ha;huzzah;for;false;false
6;bride;jaggedly;potentially abaft;true;true
7;heavily free worth;instead voluntarily;reckless;true;true
8;from flanker mollycoddle;besides bleakly whoa;gee daintily;true;false
9;circa on;uh-huh pollinate apropos;supplement colorfully yet;true;true
10;turbulent appropriate;toward;uh-huh fooey made-up;false;false
