id;designada;fecha_arribo;tiempo_vuelo;velocidad;lugar;puntos
1;false;2024-03-11T01:41:31;10549;28442.74;30183;27494.51
2;false;2024-03-11T10:56:54;29999;18893.59;6805;7703.48
3;true;2024-03-11T08:31:42;3505;18876.53;25071;2458.27
4;true;2024-03-11T04:56:40;7225;27920.73;3046;1219.59
5;false;2024-03-11T03:09:07;22527;18632.65;18322;17700.61
6;true;2024-03-11T08:28:10;4215;16123.46;24611;2393.5
7;false;2024-03-11T02:27:19;14215;26537.98;14520;17481.16
8;true;2024-03-11T17:23:38;32611;15816.46;23010;16135.6
9;false;2024-03-11T06:33:21;5498;7242.42;4226;6578.32
10;false;2024-03-11T11:26:00;2856;30373.84;27710;418.24
