id;fecha;descripcion;competencia;campeonato
1;2024-03-11T04:56:12;vice lode internal;scandalise;likely colloquy
2;2024-03-11T01:04:32;sire;chive svelte;absolute worth radiant
3;2024-03-10T22:41:32;forenenst ick;whoa hmph;denude content circa
4;2024-03-11T12:57:09;wren;idle scrim proselytize;next prize between
5;2024-03-11T09:39:20;youthfully glorious;loyal intercede rhapsodise;side blah primary
6;2024-03-11T01:46:46;sepal;down if;commonly polish gadzooks
7;2024-03-11T09:36:02;quizzically;as relative monitor;weakly airfare once
8;2024-03-11T09:36:51;accord;quicker;laparoscope
9;2024-03-11T05:55:25;assert bibliography;except since;wind prettify until
10;2024-03-11T08:54:20;midst physically;scapegoat yowza card;maintainer
