id;nombre;codigo
1;FEDERACIÓN COLOMBÓFILA DE CUBA;FCC
2;FEDERACIÓN COLOMBÓFILA PORTUGUESA;POR
3;REAL FEDERACIÓN COLOMBÓFILA ESPAÑOLA;ESP
4;FEDERACIÓN COLOMBÓFILA CANARIA;CAN
5;AMERICAN UNIÓN (EUA);AU
6;INTERNATIONAL FEDERATION (EUA);IF
7;OTRAS DE EUA;NPA
8;OTRAS DE EUA;ARPU
9;OTRAS DE EUA;WFC
10;OTRAS DE EUA;CPF
11;OTRAS DE EUA;USA
12;OTRAS DE EUA;UPF
13;FEDERACIÓN COLOMBÓFILA ARGENTINA;FCA
14;FEDERACIÓN COLOMBÓFILA BELGA;BELG
15;FEDERACIÓN COLOMBÓFILA DE ALEMANIA;DV
16;FEDERACIÓN COLOMBÓFILA DE HOLANDA;NL
17;FEDERACIÓN COLOMBÓFILA DE BRASIL;FCB
18;FEDERACIÓN COLOMBÓFILA DE CANADA;CU
19;FEDERACIÓN COLOMBÓFILA DE CHINA;CHN
20;FEDERACIÓN COLOMBÓFILA DE COLOMBIA;COL
21;FEDERACIÓN COLOMBÓFILA DE DINAMARCA;DAN
22;FEDERACIÓN COLOMBÓFILA DE INGLATERRA;GB
23;FEDERACIÓN COLOMBÓFILA DE INGLATERRA;NEHU
24;FEDERACIÓN COLOMBÓFILA FRANCESA;FR
25;FEDERACIÓN COLOMBÓFILA DE ITALIA;ITALIA
26;FEDERACIÓN COLOMBÓFILA DE MÉXICO;FMC
27;FEDERACIÓN COLOMBÓFILA DE POLONIA;PL
28;FEDERACIÓN COLOMBÓFILA DE RUMANIA;RO
29;FEDERACIÓN COLOMBÓFILA DE SUD ÁFRICA;SA
30;FEDERACIÓN COLOMBÓFILA DE TAIWÁN;TAIWAN
31;DERBY;DERBY
